0
Arkansas
Colorado
Connecticut
Delaware
Florida
Illinois
Indiana
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Mississippi
Missouri
Nebraska
New Hampshire
New Jersey
New Mexico
Ohio
Oklahoma
Rhode Island
Tennessee
Vermont
West Virginia
